SubjID,Age,Sex,Block,Session,Trial_Index,Trial_Number,ITI,ReactPeriod,Device,R_Lhanded,MotorSide,MotorInvolvement,TrialTotalTime,ActionTiming,ActionDataDelayToStart,ActionDataDelayToEnd,ActionDataConfidenceReaction,ActionDataConfidenceXaxis,ActionDataConfidenceYaxis,HandDominance,ArmDominance,LegDominance,Motor_coordination,Gaming_frequency,Gaming_type,Music,Inst_type,CutOff,Std_Timing,Std_Reacting,Mean_Reacting,Feedback,ActionTiming_z,ActionDataConfidenceReaction_z,ActionDataConfidenceYaxis_percent,conf_level,overall_motor_rate,motor_rate
1,30,1,ReactingG,1,19,19,1.6081443996795,1.87316751848979,RightJoy,RHanded,DS,Move,2.9981209184842,1.12495339999441,,,2.2137253000401,3.8,20.5,1,1,1,8,6,1,2,0,3,0.3974,0.2209,1.0713,-1,0.263831204589407,-0.136008948579359,67.0833333333333,Low,14,High
1,30,1,ReactingG,1,20,20,1.79523760675869,2.97883517695741,LeftJoy,RHanded,NDS,Press,3.7812474769788,0.802412300021388,,,5.07931289996486,5.09999999999999,24.9,1,1,1,8,6,1,2,0,3,0.3974,0.2209,1.0713,-1,-0.72619682147738,0.331729924091284,70.75,Low,14,High
1,30,1,ReactingG,1,21,21,1.92772329622455,1.56996993108252,RightJoy,RHanded,DS,Move,2.71599433110161,1.14602440001909,,,2.16202849999536,3.2,20.1,1,1,1,8,6,1,2,0,3,0.3974,0.2209,1.0713,2,0.328507863047596,-0.144447218962103,66.75,Low,14,High
1,30,1,ReactingG,1,22,22,1.99072866481434,2.73274177646679,LeftJoy,RHanded,NDS,Press,3.97955197639246,1.24681019992568,,,2.74721459997818,36.8,2.3,1,1,1,8,6,1,2,0,3,0.3974,0.2209,1.0713,-1,0.637866163572484,-0.0489295364052412,51.9166666666667,Low,14,High
1,30,1,ReactingG,1,23,23,1.49594444796522,2.83753279495665,RightJoy,RHanded,DS,Press,3.74713459486754,0.909601799910888,,,1.41432219999842,5.3,27.9,1,1,1,8,6,1,2,0,3,0.3974,0.2209,1.0713,2,-0.397182599725287,-0.26649245040381,73.25,Low,14,High
1,30,1,ReactingG,1,24,24,1.54367037069797,1.02698187040689,LeftJoy,RHanded,NDS,Move,2.1662249703618,1.13924309995491,,,3.26333490002435,3.59999999999999,31.1,1,1,1,8,6,1,2,0,3,0.3974,0.2209,1.0713,-1,0.307692912279261,0.0353148005371599,75.9166666666667,Low,14,High
1,30,1,ReactingG,1,26,26,1.74006268495126,1.81917985785166,LeftJoy,RHanded,NDS,Move,2.95015345793563,1.13097360008396,,,2.26267159997951,4.3,24.4,1,1,1,8,6,1,2,0,3,0.3974,0.2209,1.0713,2,0.282309987019567,-0.128019631778971,70.3333333333333,Low,14,High
1,30,1,ReactingG,1,27,27,1.17376845707725,2.08091052143075,RightJoy,RHanded,DS,Press,2.84868402149235,0.767773500061594,,,2.09701040002983,6.8,28.9,1,1,1,8,6,1,2,0,3,0.3974,0.2209,1.0713,-1,-0.832519342087575,-0.15505987403566,74.0833333333333,Low,14,High
1,30,1,ReactingG,1,28,28,1.54649462240655,2.48042919985656,LeftJoy,RHanded,NDS,Move,3.43072399984285,0.950294799986295,,,2.99696219991893,2.5,24,1,1,1,8,6,1,2,0,3,0.3974,0.2209,1.0713,2,-0.272276934857272,-0.00816419360031333,70,Low,14,High
1,30,1,ReactingG,1,29,29,1.21481028735179,1.1472431582812,LeftJoy,RHanded,NDS,Move,2.24736835827993,1.10012519999873,,,1.729313799995,3.7,21.8,1,1,1,8,6,1,2,0,3,0.3974,0.2209,1.0713,2,0.187621959210843,-0.21507757972005,68.1666666666667,Low,14,High
1,30,1,ReactingG,1,30,30,1.35179576478039,2.40017343326237,RightJoy,RHanded,DS,Press,3.51309143323217,1.1129179999698,,,4.13097830000334,5.59999999999999,28.5,1,1,1,8,6,1,2,0,3,0.3974,0.2209,1.0713,-1,0.226888987519116,0.176936904777473,73.75,Low,14,High
1,30,1,ReactingG,1,31,31,1.31542314246415,1.96264983414016,LeftJoy,RHanded,NDS,Press,3.04767743408024,1.08502759994008,,,3.3638577000238,5.2,23.8,1,1,1,8,6,1,2,0,3,0.3974,0.2209,1.0713,-1,0.141280431927456,0.0517227516152128,69.8333333333333,Low,14,High
1,30,1,ReactingG,1,32,32,1.15404997916397,1.47067145438696,RightJoy,RHanded,DS,Move,2.48213255434593,1.01146109995898,,,2.61227579996921,5.3,23.2,1,1,1,8,6,1,2,0,3,0.3974,0.2209,1.0713,-1,-0.0845292300567696,-0.07095507915863,69.3333333333333,Low,14,High
