SubjID     Age    Sex   Block   Session    Trial_Index   Trial_Number   ITI    ReactPeriod   Device  R_Lhanded  MotorSide MotorInvolvement TrialTotalTime   ActionTiming   ActionDataDelayToStart   ActionDataDelayToEnd  ActionDataConfidenceReaction  ActionDataConfidenceXaxis ActionDataConfidenceYaxis   HandDominance  ArmDominance    LegDominance   Motor_coordination   Gaming_frequency Gaming_type    Music  Inst_type  CutOff Std_Timing   Std_Reacting   Mean_Reacting Feedback
2	27	1	2	1	1	1	1.32290168085610	2.03146737418313	0	1	1	1	3.13172257424042	1.10025520005729	NaN	NaN	71.3750073000556	1263	604	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	2
2	27	1	2	1	2	2	1.29688832990883	2.30282130474127	1	1	2	2	3.16533060474224	0.862509300000966	NaN	NaN	8.62747259996831	1228	227	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	2
2	27	1	2	1	3	3	1.58451806905612	2.62448017398693	1	1	2	2	5.51402527402953	2.88954510004260	NaN	NaN	3.06312970002182	1434	416	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	4	4	1.03393616061570	2.81722968828536	0	1	1	1	4.01106478832799	1.19383510004263	NaN	NaN	12.3124020000687	1246	290	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	5	5	1.40204127225649	1.13874725840183	0	1	1	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	5	5	1.40204127225649	1.13874725840183	0	1	1	1	3.14638265845029	2.00763540004846	NaN	NaN	6.26127170003019	1306	277	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	6	6	1.47796045980120	1.33418045381452	1	1	2	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	6	6	1.47796045980120	1.33418045381452	1	1	2	2	2.36325515378169	1.02907469996717	NaN	NaN	2.62811480008531	1281	223	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	7	7	1.45533741692609	1.07425829301555	1	1	2	1	2.03244639291861	0.958188099903055	NaN	NaN	3.37642460002098	1217	213	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	8	8	1.54888024220828	1.11938927502209	0	1	1	2	2.11414127499168	0.994751999969594	NaN	NaN	2.31088780006394	1240	208	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	9	9	1.55530608263873	1.23909055204830	1	1	2	2	2.01674555214821	0.777655000099912	NaN	NaN	2.11271310003940	1317	418	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	2
2	27	1	2	1	10	10	1.40929367940856	2.30218142804170	0	1	1	1	3.19930252802970	0.897121099987999	NaN	NaN	2.24604200001340	1251	396	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	11	11	1.75540633634065	2.81605960320768	1	1	2	2	3.61606110314925	0.800001499941573	NaN	NaN	2.11390540003777	1245	427	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	12	12	1.30595618622857	1.18644159670165	0	1	1	1	2.31475289665339	1.12831129995175	NaN	NaN	1.61379860003944	1255	437	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	13	13	1.08373793414117	1.07554867295732	0	1	1	1	2.08225077288409	1.00670209992677	NaN	NaN	1.64744480000809	1252	413	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	14	14	1.74846329924705	2.44589638305476	1	1	2	2	3.22996588310340	0.784069500048645	NaN	NaN	1.94722339999862	1255	300	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	2
2	27	1	2	1	15	15	1.18835951283545	1.44225312720896	1	1	2	2	2.21503962714136	0.772786499932408	NaN	NaN	1.31402739998885	1227	305	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	16	16	1.02153488501075	2.76997923918118	0	1	1	1	3.73042853918907	0.960449300007895	NaN	NaN	1.23000480001792	1254	413	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	2
2	27	1	2	1	17	17	1.62632726218029	1.56895562444143	0	1	1	2	2.46427372443750	0.895318099996075	NaN	NaN	2.16353539994452	1340	348	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	2
2	27	1	2	1	18	18	1.69245881154594	1.51907281961269	1	1	2	1	2.59915871952637	1.08008589991368	NaN	NaN	2.36584370001219	1237	498	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
2	27	1	2	1	19	19	1.21661040826356	2.12326595261833	1	1	2	2	3.46436655258434	1.34110059996601	NaN	NaN	2.59696370002348	1364	866	1	1	1	9	6	1	2	0	3	0.470500000000000	0.180400000000000	0.985900000000000	NaN
